user,vault,block,position,lpvalue,lpvalueusd
0xB012DBFD5988989F71a4455Ab478648eD8092159,0x89C133c5e8eD4Cd7CD87A1A00c1e70c13A29b90B,6071025,1,3407.1067482183926,3407.1067482183926
0x031c4F4E236B507354449bc4Ae242a0e27451782,0x9c96d0Cc5341654167ee35DB4F288ae523fe8779,6238806,17,106.14585362086474,106.14585362086474
0x031c4F4E236B507354449bc4Ae242a0e27451782,0x067E0764cCDc91CF645310C697903c1811eb257b,6238806,17,109.07295667002697,109.07295667002697
0x08A59439C05c5E29e664646508a0BDa664fF6d94,0x89C133c5e8eD4Cd7CD87A1A00c1e70c13A29b90B,6240239,21,71.465154125134,71.465154125134
0x0955f836eC6FF90944348d875f2AaE03e1E965C3,0x497eB27Ca1ed7566653edf811b03d6418a03FC9d,6241366,41,1203.336657385051,1203.336657385051
0x0955f836eC6FF90944348d875f2AaE03e1E965C3,0x497eB27Ca1ed7566653edf811b03d6418a03FC9d,6241748,41,1444.003988862061,1444.003988862061
0x095BFD489afaf2eFB3CbDD53c9BD9003E630eDeF,0x89C133c5e8eD4Cd7CD87A1A00c1e70c13A29b90B,6242107,21,75.22647802645686,75.22647802645686
0x0BBc21C238b07F10c95f9F8c61f450A7754E0Fe3,0x497eB27Ca1ed7566653edf811b03d6418a03FC9d,6238039,41,9615.483135925728,9615.483135925728
0x182A7aA2a2db368474E64d690b4F8D91b6673F3c,0x497eB27Ca1ed7566653edf811b03d6418a03FC9d,6240773,41,24035.20467632848,24035.20467632848
0x1CE530A1fa60Bc01b922C91895Fe97E4f13Ff912,0x89C133c5e8eD4Cd7CD87A1A00c1e70c13A29b90B,6242021,21,708.6334230092235,708.6334230092235
0x26CAaE548b7Cecf98dA12CcAAA633d6D140447aa,0x89C133c5e8eD4Cd7CD87A1A00c1e70c13A29b90B,6239528,21,4755.441808442471,4755.441808442471
0x27ca775C9E65C78d86D56D643193484A0C40E387,0x89C133c5e8eD4Cd7CD87A1A00c1e70c13A29b90B,6241264,21,37.61323901322843,37.61323901322843
0x27ca775C9E65C78d86D56D643193484A0C40E387,0x497eB27Ca1ed7566653edf811b03d6418a03FC9d,6241450,41,337.0043273375309,337.0043273375309
0x2b70dB9fEBc008e56463a6f82Ce6Cd56C6164B11,0x89C133c5e8eD4Cd7CD87A1A00c1e70c13A29b90B,6241287,21,2217.6765722199484,2217.6765722199484
0x2bb345e6608dd08d0d92C25d407756a89C9e4001,0x89C133c5e8eD4Cd7CD87A1A00c1e70c13A29b90B,6237464,21,18422.588336289155,18422.588336289155
0x2e84B79dd9773d712f9D20a98C4ee76541B9533D,0x89C133c5e8eD4Cd7CD87A1A00c1e70c13A29b90B,6237595,21,1591.0400102595625,1591.0400102595625
0x3293451bEeA4440d8c3ddCb49EB478A7dc567f65,0x89C133c5e8eD4Cd7CD87A1A00c1e70c13A29b90B,6238017,21,6730.136856636964,6730.136856636964
0x3293451bEeA4440d8c3ddCb49EB478A7dc567f65,0x497eB27Ca1ed7566653edf811b03d6418a03FC9d,6238098,41,8239.090202340323,8239.090202340323
0x3293451bEeA4440d8c3ddCb49EB478A7dc567f65,0x497eB27Ca1ed7566653edf811b03d6418a03FC9d,6238384,41,240.31701512842642,240.31701512842642
0x3293451bEeA4440d8c3ddCb49EB478A7dc567f65,0x497eB27Ca1ed7566653edf811b03d6418a03FC9d,6241737,41,24073.03884197552,24073.03884197552
0x33D3C029FD119ebb90df20c3427a97074637Bf7c,0x89C133c5e8eD4Cd7CD87A1A00c1e70c13A29b90B,6240274,21,15036.644560318327,15036.644560318327
0x43C08632F700c08735feab5DfEb57fB74206BEAd,0x89C133c5e8eD4Cd7CD87A1A00c1e70c13A29b90B,6238086,21,4511.70801963675,4511.70801963675
0x4E675B95A69eA0d20cE7727ff10Fc0334CC45eBA,0x9c96d0Cc5341654167ee35DB4F288ae523fe8779,6236903,17,63.056942745068156,63.056942745068156
